scaleFactor,minNeighbors,avgDistance
1.78,7,22.715661845320888
1.78,8,23.101542563775578
1.78,9,23.98973916490059
1.78,10,20.96924735848466
1.79,1,23.94958275064751
1.79,2,23.169964793285192
1.79,3,23.960841016406924
1.79,4,28.408476520965912
1.79,5,28.428424926065553
1.79,6,12.114271001492904
1.79,7,12.114271001492904
1.79,8,12.114271001492904
1.79,9,12.167639766922829
1.79,10,8.88698083898953
1.8,1,23.435108165845293
1.8,2,22.793013652206476
1.8,3,23.610499575212835
1.8,4,23.27017869326155
1.8,5,11.558863634041128
1.8,6,11.65886363404113
1.8,7,11.65886363404113
1.8,8,11.73091993623097
1.8,9,12.619116537355982
1.8,10,12.619116537355982
1.81,1,32.13005943352697
1.81,2,34.539424270845316
1.81,3,30.856882401936332
1.81,4,12.032451638594456
1.81,5,12.324175385564635
1.81,6,12.324175385564635
1.81,7,8.920240083036374
1.81,8,8.204366666768633
1.81,9,9.092563267893643
1.81,10,9.092563267893643
1.82,1,41.07294140028888
1.82,2,42.81080936593291
1.82,3,25.689065563188148
1.82,4,26.070599719345502
1.82,5,15.14665846460664
1.82,6,9.356473823769717
1.82,7,8.325670235515961
1.82,8,9.102063437765981
1.82,9,9.4889979937555
1.82,10,9.4889979937555
1.83,1,36.96277119430871
1.83,2,25.85546002403015
1.83,3,12.721951826854442
1.83,4,22.45593976317472
1.83,5,11.407716834813822
1.83,6,11.927439271040623
1.83,7,11.927439271040623
1.83,8,8.132413361246583
1.83,9,9.020609962371594
1.83,10,9.020609962371594
1.84,1,24.977119093142143
1.84,2,25.0726899471839
1.84,3,23.189743889211083
1.84,4,23.886590277427594
1.84,5,23.937643703099575
1.84,6,11.614795940291629
1.84,7,11.614795940291629
1.84,8,11.614795940291629
1.84,9,12.691773451452656
1.84,10,12.691773451452656
1.85,1,37.471920154638916
1.85,2,24.410423152694403
1.85,3,10.528924271754743
1.85,4,11.796601172709957
1.85,5,12.181288935128354
1.85,6,12.181288935128354
1.85,7,8.90348756146238
1.85,8,8.606229414075765
1.85,9,9.494426015200775
1.85,10,9.494426015200775
1.86,1,38.0410129788111
1.86,2,25.415691892155216
1.86,3,8.20790686866191
1.86,4,8.137014359513902
1.86,5,8.137014359513902
1.86,6,8.081837032495013
1.86,7,8.081837032495013
1.86,8,8.081837032495013
1.86,9,8.970033633620023
1.86,10,10.0
1.87,1,12.240622438707895
1.87,2,7.943881597906456
1.87,3,7.7491519128082755
1.87,4,7.702841428674846
1.87,5,7.702841428674846
1.87,6,7.702841428674846
1.87,7,7.702841428674846
1.87,8,9.111803398874988
1.87,9,10.0
1.87,10,10.0
1.88,1,30.723827320535644
1.88,2,17.46944709818119
1.88,3,11.946084085275327
1.88,4,11.946084085275327
1.88,5,11.451109338444743
1.88,6,11.912206800143128
1.88,7,9.14451229468845
1.88,8,9.14451229468845
1.88,9,9.730788655293196
1.88,10,10.0
1.89,1,19.381023227426805
1.89,2,9.947105470945804
1.89,3,8.850367653418274
1.89,4,8.850367653418274
1.89,5,8.850367653418274
1.89,6,8.58566813491196
1.89,7,8.58566813491196
1.89,8,9.224023345340033
1.89,9,10.112219946465043
1.89,10,10.112219946465043
1.9,1,31.399333648232123
1.9,2,13.878907281779163
